Name,PID,PM,CPU,Threads,Priority,FileSize,RSS,ExecTime
/usr/lib/firefox/firefox,3827,1261.15,23.20,24,Sl,0,1261.14,.24
/usr/lib/firefox/firefox,1147,624.34,16.40,100,Sl,0,624.34,41.92
/usr/lib/firefox/firefox,1407,505.59,13.00,27,Sl,0,505.58,.27
/usr/lib/electron32/electron,5291,368.08,6.00,14,Sl,0,368.08,5264.35
/usr/lib/electron32/electron,5164,297.98,1.70,37,SLsl,0,297.98,5263.09
/usr/lib/electron32/electron,5354,287.65,0.30,16,Sl,0,287.65,5265.90
/usr/lib/firefox/firefox,26565,287.18,0.40,24,Sl,0,287.18,.24
/usr/lib/electron32/electron,5272,274.19,2.10,10,Sl,0,274.19,5263.78
/usr/lib/firefox/firefox,4960,268.05,0.60,24,Sl,0,268.05,.24
/usr/lib/firefox/firefox,3650,242.05,0.20,25,Sl,0,242.05,.25
/usr/lib/electron32/electron,5513,209.81,0.30,17,Sl,0,209.81,5305.28
/usr/lib/electron32/electron,5331,205.79,0.00,16,Sl,0,205.78,5265.75
/usr/lib/electron32/electron,5332,192.96,0.00,18,Sl,0,192.96,5265.75
/usr/lib/firefox/firefox,1279,190.48,0.00,24,Sl,0,190.48,0
/home/martins/Documentos/Projetos/chatbot/ChatBot-Prosystema/venv/bin/python,5504,188.94,0.60,4,Sl,0,188.94,5299.47
/usr/lib/electron32/electron,5404,180.32,0.00,8,Sl,0,180.32,5266.77
/usr/lib/electron32/electron,5278,164.79,0.00,9,Sl,0,164.78,5263.86
/usr/lib/electron32/electron,5205,140.63,0.00,1,S,0,140.62,5263.16
/usr/lib/electron32/electron,5203,140.59,0.00,1,S,0,140.58,5263.16
/usr/lib/firefox/firefox,1413,130.13,0.00,23,Sl,0,130.12,.23
alacritty,6788,122.40,0.00,7,Sl,0,122.40,5639.15
xfwm4,863,115.17,2.50,5,Sl,0,115.17,14.77
alacritty,23163,108.66,0.00,7,Sl,0,108.66,6793.33
/usr/lib/firefox/firefox,6587,101.21,0.00,23,Sl,0,101.20,.23
/usr/lib/firefox/firefox,1336,95.60,0.00,23,Sl,0,95.60,44.67
/usr/lib/Xorg,704,87.04,2.40,2,Ssl+,0,87.04,6.61
/usr/lib/firefox/firefox,1588,82.39,31.10,5,Sl,0,82.39,0
/home/martins/Documentos/Projetos/chatbot/ChatBot-Prosystema/venv/bin/python,5507,74.23,0.00,6,Sl,0,74.22,5300.51
/usr/lib/firefox/firefox,32497,68.81,0.00,16,Sl,0,68.80,0
/usr/lib/firefox/firefox,33935,68.68,0.00,16,Sl,0,68.67,0
/usr/lib/firefox/firefox,34986,68.55,0.00,16,Sl,0,68.55,0
/usr/lib/firefox/firefox,1394,60.91,1.20,5,Sl,0,60.91,0
xfdesktop,888,60.84,0.00,5,Sl,0,60.84,15.86
/usr/bin/python,945,57.02,0.00,5,Sl,0,57.01,16.12
nm-applet,979,55.08,0.00,6,Sl,0,55.07,16.19
xfce4-clipman,942,54.03,0.00,5,Sl,0,54.02,16.11
/usr/lib/xfce4/panel/wrapper-2.0,887,51.98,0.00,5,Sl,0,51.97,15.63
xfce4-session,797,51.80,0.00,4,Sl,0,51.80,13.81
xfce4-terminal,3964,51.34,0.00,5,Sl,0,51.33,5175.74
/usr/lib/xfce4/panel/wrapper-2.0,890,49.96,0.00,5,Sl,0,49.96,15.87
xfce4-panel,876,49.20,0.00,5,Sl,0,49.20,15.46
/usr/lib/electron32/electron,5303,39.10,0.00,1,S,0,39.10,5264.61
/usr/lib/firefox/firefox,1230,38.16,0.00,6,Sl,0,38.16,0
/usr/bin/python3,974,36.42,0.00,1,S,0,36.41,16.16
/usr/lib/xfce4/panel/wrapper-2.0,895,34.82,0.00,5,Sl,0,34.82,15.88
/usr/bin/pulseaudio,914,32.03,0.30,4,S<sl,0,32.03,15.99
xfsettingsd,872,31.79,0.00,4,Sl,0,31.78,15.26
/usr/lib/xfce4/panel/wrapper-2.0,889,29.55,0.00,4,Sl,0,29.55,15.87
Thunar,881,27.47,0.00,4,Sl,0,27.47,15.53
xfce4-screensaver,977,26.96,0.00,4,Sl,0,26.95,16.18
